artist,album,uri
10CM,"Our Blues, Pt. 3 (Original Television Soundtrack)",spotify:album:2bWjPAcoUxP7t3FWChijzl
5 Seconds of Summer,5 Seconds Of Summer,spotify:album:6GKIr03B2yvdP0TkWiGJVV
Adam Melchor,Real Estate,spotify:album:6nViscFT0UsASEnVlpObPI
Agust D,D-2,spotify:album:0zhGddZ83RpCgnelKWa2qS
Agust D,D-DAY,spotify:album:446ROKmKfpEwkbi2SjELVX
Agust D,Agust D,spotify:album:1qHUxg0YIm6caZQrDJvDdk
Ariana Grande,Stuck with U,spotify:album:5mUdh6YWnUvf0MfklEk1oi
Balming Tiger,SEXY NUKIM (feat. RM of BTS),spotify:album:7osIz9TFdxYQAm4fgakanT
BTS,The Planet,spotify:album:7uaI73cqw8YC2ViewZAai5
BTS,The Most Beautiful Moment in Life Pt.1,spotify:album:0Gv6nwfgk6Cy62j0GGITQc
BTS,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,spotify:album:1nScVw87kRJiT2bg2Kswhp
BTS,"O!RUL8,2?",spotify:album:6rWmdSJIaGTVtdMJQ35Lvf
BTS,MAP OF THE SOUL : PERSONA,spotify:album:2KqlAl1Kl5fZvbFgJ0qFB6
BTS,The Most Beautiful Moment in Life: Young Forever,spotify:album:1k5bJ8l5oL5xxVBVHjil09
BTS,FACE YOURSELF,spotify:album:66J1OXSaS3hBZASOV3el8t
BTS,Love Yourself æ‰¿ 'Her',spotify:album:2FTS6a6DLXMNp8flyA0HGO
BTS,Take Two,spotify:album:3jeQDa9OFZ6GndLindHx3k
BTS,Wings,spotify:album:1vhNGBTFoaSTLbHjPGFIlF
BTS,Skool Luv Affair,spotify:album:5DIb84mvBHZnYFpIsdt2tL
BTS,You Never Walk Alone,spotify:album:6THpewjqJ15ORBJkh5CEYb
BTS,Butter (Megan Thee Stallion Remix),spotify:album:4VmlZdGnrtNpiCJFXplGrP
BTS,Love Yourself è½‰ 'Tear',spotify:album:4NIqCxqP9o8Tp6tGLBqd8O
BTS,Skool Luv Affair (Special Addition),spotify:album:0pX41mddl0CZXxpxkQ7347
BTS,Message to ARMY,spotify:album:525YwDw39sQmIoBogF20w8
BTS,BE,spotify:album:6nYfHQnvkvOTNHnOhDT3sr
BTS,Butter / Permission to Dance,spotify:album:1iLUfFVZF8bltkBkONumgG
BTS,Proof,spotify:album:6al2VdKbb6FIz9d7lU7WRB
BTS,Wake Up,spotify:album:2bXp5bEM5sgZdIznTesQZb
BTS,Wings,spotify:album:17FnTn4P3Bkyf6mbNQDhhy
BTS,The Most Beautiful Moment in Life Pt.2,spotify:album:2ds8iT4wkaN1Q1gZe1qcOD
BTS,BE,spotify:album:2qehskW9lYGWfYb0xPZkrS
BTS,Youth,spotify:album:442zUwKHCTO47XPF7cUSqY
BTS,Love Yourself è½‰ 'Tear',spotify:album:2jJfnAZE6IG3oYnUv2eCj4
BTS,Dark & Wild,spotify:album:7FxxU3EP37uMsZf8FilkDR
BTS,2 Cool 4 Skool,spotify:album:6egaEe9JaULuUCkihSnYlH
BTS,Love Yourself çµ 'Answer',spotify:album:2lATw9ZAVp7ILQcOKPCPqp
BTS,MAP OF THE SOUL : 7,spotify:album:5W1XY5ucNATjTULERvXx9j
BTS,Love Yourself æ‰¿ 'Her',spotify:album:07Rq17GzCnIdWJcyVHb57G
BTS,MAP OF THE SOUL : 7,spotify:album:6mJZTV8lCqnwftYZa94bXS
BTS,"BTS, THE BEST",spotify:album:6bN241dPMC54Ac6zV1B8hl
BTS,Dark & Wild,spotify:album:35voVqYGkotyJ945O9egDY
BTS,The Most Beautiful Moment in Life Pt.1,spotify:album:0mEeCuKJQ8Xh9tQ5dMm89X
BTS,Love Yourself çµ 'Answer',spotify:album:43wFM1HquliY3iwKWzPN4y
Charlie Puth,Left and Right (Feat. Jung Kook of BTS),spotify:album:4LyiYe4wZ6XwzUne79hidF
Cigarettes After Sex,Cigarettes After Sex,spotify:album:2mxFsS5yylSTHNivV53HoA
Colde,Love Part 2,spotify:album:1llUyjGU6LXQzd2oJCzh4S
Coldplay,My Universe,spotify:album:39McjovZ3M6n5SFtNmWTdp
Coldplay,My Universe,spotify:album:3oWWeH4gpNsJG0KyGaBoEd
Crush,Rush Hour,spotify:album:7egcy2gtlyoUUl1OlQrY3R
Dario Marianelli,Pride and Prejudice OST,spotify:album:31qEnY1MFmGwOdgjLLClPd
Doja Cat,Planet Her (Deluxe),spotify:album:4XLPYMERZZaBzkJg0mkdvO
Harry Styles,Sign of the Times,spotify:album:6YDkzHVTEzMXZOVd1r5NqR
Harry Styles,Harry Styles,spotify:album:1FZKIm3JVDCxTchXDo5jOV
Harry Styles,Fine Line,spotify:album:7xV2TzoaVc0ycW7fwBwAml
Harry Styles,Watermelon Sugar,spotify:album:659e2eKbsMH0vYCs5qgFmy
Hozier,Unreal Unearth: Unheard,spotify:album:1vL2mgGTukkrUxXt0loeTN
Hozier,Eat Your Young,spotify:album:5mS9VJU9Lv7YfQtu6bqKmt
Ingrid Michaelson,To Begin Again,spotify:album:5rrWBCnnYiFaT5EoyCeikd
IU,Palette,spotify:album:5V8n6fqyAPxvFTibPhQVcp
IU,IU 5th Album 'LILAC',spotify:album:01dPJcwyht77brL4JQiR8R
j-hope,on the street (with J. Cole),spotify:album:70xdtgH5XuYTqBNdNbUwGO
j-hope,MORE,spotify:album:5Sk4Inca1WZhP7VLuD7DOi
j-hope,Jack In The Box (HOPE Edition),spotify:album:3XuUxVKw2mDLSIkZNYoaa6
j-hope,Blue Side,spotify:album:1PwHmb34vUnPLJp3vSLKed
j-hope,Jack In The Box,spotify:album:0FrC9lzgVhziJenigsrXdl
j-hope,HOPE ON THE STREET VOL.1,spotify:album:5mqxdPWQirLBE7vdDMhlB4
Jimin,MUSE,spotify:album:15XcLhiVMlSOipUddTNDnr
Jimin,FACE,spotify:album:4xc3Lc9yASZgEJGH7acWMB
Jimin,Set Me Free Pt.2,spotify:album:781fDX4OibkZA9fj56Ycbz
Jimin,Closer Than This,spotify:album:3auDI7RSdoJr99qMNXimP4
Jung Kook,3D (feat. Jack Harlow),spotify:album:4DKnznk5VbGVvAOYBbQrZJ
Jung Kook,Stay Alive (Prod. SUGA of BTS),spotify:album:6nvSZLAsbg56fGSCVm8fL9
Jung Kook,GOLDEN,spotify:album:5pSk3c3wVwnb2arb6ohCPU
Jung Kook,Seven (feat. Latto),spotify:album:53985D8g3JcGBoULSOYYKX
Jung Kook,Seven (feat. Latto) (Alesso Remix),spotify:album:3nDzRDgvd0SxAxRHEefwDb
Louis Tomlinson,Walls: Track By Track,spotify:album:19kxf9lM9lwTpWKk9VTuGA
Louis Tomlinson,Walls,spotify:album:4F4wlAmPyUVCyISxlePFL9
New Hope Club,Let Me Down Slow (with R3HAB),spotify:album:5C89AaEzlwyqTPSvITdu57
New Hope Club,New Hope Club,spotify:album:1FOu259qTT1V4pFwjR8MXn
Niall Horan,Heartbreak Weather,spotify:album:5gdoRB1AUsGnScCuZ8gmPp
Omar Apollo,Ivory,spotify:album:5z7TD11Qh81Gbf52hd5zAv
One Direction,Made In The A.M. - Deluxe Edition,spotify:album:1gMxiQQSg5zeu4htBosASY
One Direction,Acoustic - EP,spotify:album:5VX4SyOXpLW7d0jBGW6AP2
One Direction,Take Me Home,spotify:album:2sWX3HYnZjPZ9MrH6MFsBt
One Direction,Midnight Memories (Deluxe),spotify:album:7p1fX8aUySrBdx4WSYspOu
One Direction,FOUR,spotify:album:4gCNyS7pidfK3rKWhB3JOY
RM,Come back to me,spotify:album:7ENUU3mZBPsGVLmwoj1Sk5
RM,Indigo,spotify:album:08HCdXZVN72S2vpIT9DKhU
RM,Change,spotify:album:1XNlRfQuMTW3IF0z0dUZgq
RM,"Right Place, Wrong Person",spotify:album:512dQp7hBbDDurodCqSw5I
RM,mono.,spotify:album:4f9hYOZPtGfcUd1dT30G1H
RM,Bicycle,spotify:album:2h9WH7UD0s15x8Ho5OCs8h
Sabrina Carpenter,Espresso,spotify:album:5quMTd5zeI9yW5UDua8wS4
The Kid LAROI,TOO MUCH,spotify:album:7gCggwpSuqUmVzWniLdpKR
The Rose,Void,spotify:album:0HIDsIWC43WiecL3qO7IUP
TOMORROW X TOGETHER,The Chaos Chapter: FIGHT OR ESCAPE,spotify:album:2CjIfWoFITACUOlWGB7os5
TOMORROW X TOGETHER,minisode 2: Thursday's Child,spotify:album:1o8jYrnyZueTPIdhlHuTc8
UMI,wherever u r (ft. V of BTS),spotify:album:2LwzZahqXWr0POXIWI7WaN
V,Snow Flower (feat. Peakboy),spotify:album:4w5Rzux7dz1GkLkNkMd7L3
V,Scenery,spotify:album:42GFBLpnHzGbuROBi6B4Ab
V,FRI(END)S,spotify:album:7v4sqd0NZ9Fm8HnwCcCGIs
V,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,spotify:album:3Y0g1Cgg3DPMvNoaOgfeT7
V,Winter Bear,spotify:album:14q6R8M7lDDjWuLjGNKQDj
V,"Our Beloved Summer (Original Television Soundtrack), Pt. 5",spotify:album:4210mSQ3r10AsJMZEYAH5l
V,Layover,spotify:album:7ixOAT89NSsgUITYc5ByB5
Various Artists,Cinderella,spotify:album:4MaXQAzgpi1UGNNia9r7fx
Various Artists,BTS WORLD (Original Soundtrack),spotify:album:3LgNJmZ4QPkSvdt9JB8Tb8
ZAYN,Nobody Is Listening,spotify:album:2yuQqhSklmfWgn8lmJNk5t
ZAYN,Icarus Falls,spotify:album:37PlDQrSCWOiQlrA1AvUqx
ZAYN,Better,spotify:album:7MkNlHw0O8KKr3yJ3RtgVW
